symbol,name,industry,series,isin,exchange,trading_symbol,scrip_code,search_aliases,enabled
20MICRONS,20 Microns Limited,NSE Equity,EQ,INE144J01027,NSE,20MICRONS,,20MICRONS INE144J01027 533022 20MICRONS 20 Microns Ltd,true
21STCENMGM,21st Century Management Services Limited,NSE Equity,EQ,INE253B01015,NSE,21STCENMGM,,21STCENMGM INE253B01015 526921 21STCENMGM Twentyfirst Century Management Services Ltd,true
360ONE,360 ONE WAM LIMITED,Financial Services,EQ,INE466L01038,NSE,360ONE,,360ONE INE466L01038 542772 360ONE 360 ONE WAM LTD,true
3BBLACKBIO,3B Blackbio Dx Limited,NSE Equity,EQ,INE994E01018,NSE,3BBLACKBIO,,3BBLACKBIO INE994E01018 532067 3BBLACKBIO 3B BlackBio Dx Ltd,true
3IINFOLTD,3i Infotech Limited,NSE Equity,EQ,INE748C01038,NSE,3IINFOLTD,,3IINFOLTD INE748C01038 532628 3IINFOLTD 3i Infotech Ltd,true
3MINDIA,3M India Limited,Diversified,EQ,INE470A01017,NSE,3MINDIA,,3MINDIA INE470A01017 523395 3MINDIA 3M India Ltd,true
3PLAND,3P Land Holdings Limited,NSE Equity,EQ,INE105C01023,NSE,3PLAND,,3PLAND INE105C01023 516092 3PLAND 3P Land Holdings Ltd,true
5PAISA,5Paisa Capital Limited,NSE Equity,EQ,INE618L01018,NSE,5PAISA,,5PAISA INE618L01018 540776 5PAISA 5paisa Capital Ltd,true
63MOONS,63 moons technologies limited,NSE Equity,EQ,INE111B01023,NSE,63MOONS,,63MOONS INE111B01023 526881 63MOONS 63 Moons Technologies Ltd,true
A2ZINFRA,A2Z Infra Engineering Limited,NSE Equity,EQ,INE619I01012,NSE,A2ZINFRA,,A2ZINFRA INE619I01012 533292 A2ZINFRA A2Z Infra Engineering Ltd,true
AAATECH,AAA Technologies Limited,NSE Equity,EQ,INE0D0U01013,NSE,AAATECH,,AAATECH INE0D0U01013 543671 AAATECH AAA Technologies Ltd,true
AADHARHFC,Aadhar Housing Finance Limited,Financial Services,EQ,INE883F01010,NSE,AADHARHFC,,AADHARHFC INE883F01010 544176 AADHARHFC Aadhar Housing Finance Ltd,true
AAKASH,Aakash Exploration Services Limited,NSE Equity,EQ,INE087Z01024,NSE,AAKASH,,AAKASH INE087Z01024,true
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NSE Equity,BE,INE198H01019,NSE,AAREYDRUGS,,AAREYDRUGS INE198H01019 524412 AAREYDRUGS Aarey Drugs & Pharmaceuticals Ltd,true
AARNAV,Aarnav Fashions Limited,NSE Equity,EQ,INE750R01016,NSE,AARNAV,,AARNAV INE750R01016 539562 AARNAV Aarnav Fashions Ltd,true
AARON,Aaron Industries Limited,NSE Equity,EQ,INE721Z01010,NSE,AARON,,AARON INE721Z01010,true
AARTECH,Aartech Solonics Limited,NSE Equity,BE,INE01C001026,NSE,AARTECH,,AARTECH INE01C001026 542580 AARTECH Aartech Solonics Ltd,true
AARTIDRUGS,Aarti Drugs Limited,NSE Equity,EQ,INE767A01016,NSE,AARTIDRUGS,,AARTIDRUGS INE767A01016 524348 AARTIDRUGS Aarti Drugs Ltd,true
AARTIIND,Aarti Industries Limited,Chemicals,EQ,INE769A01020,NSE,AARTIIND,,AARTIIND INE769A01020 524208 AARTIIND Aarti Industries Ltd,true
AARTIPHARM,Aarti Pharmalabs Limited,NSE Equity,EQ,INE0LRU01027,NSE,AARTIPHARM,,AARTIPHARM INE0LRU01027 543748 AARTIPHARM Aarti Pharmalabs Ltd,true
AARTISURF,Aarti Surfactants Limited,NSE Equity,EQ,INE09EO01013,NSE,AARTISURF,,AARTISURF INE09EO01013 543210 AARTISURF Aarti Surfactants Ltd,true
AARVI,Aarvi Encon Limited,NSE Equity,EQ,INE754X01016,NSE,AARVI,,AARVI INE754X01016,true
AASTHA,Aastha Spintex Limited,NSE Equity,EQ,INE2FMX01012,NSE,AASTHA,,AASTHA INE2FMX01012 544808 AASTHA Aastha Spintex Ltd,true
AAVAS,Aavas Financiers Limited,Financial Services,EQ,INE216P01012,NSE,AAVAS,,AAVAS INE216P01012 541988 AAVAS AAVAS Financiers Ltd,true
ABAN,Aban Offshore Limited,NSE Equity,BE,INE421A01028,NSE,ABAN,,ABAN INE421A01028 523204 ABAN Aban Offshore Ltd,true
ABANSENT,Abans Enterprises Limited,NSE Equity,BE,INE365O01028,NSE,ABANSENT,,ABANSENT INE365O01028 512165 ABANSENT Abans Enterprises Ltd,true
ABB,ABB India Limited,Capital Goods,EQ,INE117A01022,NSE,ABB,,ABB INE117A01022 500002 ABB ABB India Ltd,true
ABBOTINDIA,Abbott India Limited,Healthcare,EQ,INE358A01014,NSE,ABBOTINDIA,,ABBOTINDIA INE358A01014 500488 ABBOTINDIA Abbott India Ltd,true
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,EQ,INE674K01013,NSE,ABCAPITAL,,ABCAPITAL INE674K01013 540691 ABCAPITAL Aditya Birla Capital Ltd,true
ABCOTS,A B Cotspin India Limited,NSE Equity,EQ,INE08PH01015,NSE,ABCOTS,,ABCOTS INE08PH01015 544522 ABCOTS A B Cotspin India Ltd,true
ABDL,Allied Blenders and Distillers Limited,Fast Moving Consumer Goods,EQ,INE552Z01027,NSE,ABDL,,ABDL INE552Z01027 544203 ABDL Allied Blenders and Distillers Ltd,true
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Services,EQ,INE647O01011,NSE,ABFRL,,ABFRL INE647O01011 535755 ABFRL Aditya Birla Fashion and Retail Ltd,true
ABINFRA,A B Infrabuild Limited,NSE Equity,EQ,INE00YB01025,NSE,ABINFRA,,ABINFRA INE00YB01025 544281 ABINFRA A B Infrabuild Ltd,true
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Services,EQ,INE14LE01019,NSE,ABLBL,,ABLBL INE14LE01019 544403 ABLBL Aditya Birla Lifestyle Brands Ltd,true
ABMINTLLTD,ABM International Limited,NSE Equity,EQ,INE251C01025,NSE,ABMINTLLTD,,ABMINTLLTD INE251C01025,true
ABMKNO,ABM Knowledgeware Limited,NSE Equity,EQ,INE850B01026,NSE,ABMKNO,,ABMKNO INE850B01026 531161 ABMKNO ABM Knowledgeware Ltd,true
ABREL,Aditya Birla Real Estate Limited,Realty,EQ,INE055A01016,NSE,ABREL,,ABREL INE055A01016 500040 ABREL Aditya Birla Real Estate Ltd,true
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,EQ,INE404A01024,NSE,ABSLAMC,,ABSLAMC INE404A01024 543374 ABSLAMC Aditya Birla Sun Life AMC Ltd,true
ACC,ACC Limited,Construction Materials,EQ,INE012A01025,NSE,ACC,,ACC INE012A01025 500410 ACC ACC Ltd,true
ACCELYA,Accelya Solutions India Limited,NSE Equity,EQ,INE793A01012,NSE,ACCELYA,,ACCELYA INE793A01012 532268 ACCELYA Accelya Solutions India Ltd,true
ACCURACY,Accuracy Shipping Limited,NSE Equity,BE,INE648Z01023,NSE,ACCURACY,,ACCURACY INE648Z01023 544598 ACCURACY Accuracy Shipping Ltd,true
ACE,Action Construction Equipment Limited,Capital Goods,EQ,INE731H01025,NSE,ACE,,ACE INE731H01025 532762 ACE Action Construction Equipment Ltd,true
ACEINTEG,Ace Integrated Solutions Limited,NSE Equity,EQ,INE543V01017,NSE,ACEINTEG,,ACEINTEG INE543V01017,true
ACI,Archean Chemical Industries Limited,NSE Equity,EQ,INE128X01021,NSE,ACI,,ACI INE128X01021 543657 ACI Archean Chemical Industries Ltd,true
ACL,Andhra Cements Limited,NSE Equity,EQ,INE666E01020,NSE,ACL,,ACL INE666E01020 532141 ACL Andhra Cements Ltd,true
ACMESOLAR,Acme Solar Holdings Limited,Power,EQ,INE622W01025,NSE,ACMESOLAR,,ACMESOLAR INE622W01025 544283 ACMESOLAR ACME Solar Holdings Ltd,true
ACSTECH,ACS Technologies Limited,NSE Equity,EQ,INE366C01021,NSE,ACSTECH,,ACSTECH INE366C01021 530745 ACSTECH ACS Technologies Ltd,true
ACUTAAS,Acutaas Chemicals Limited,Healthcare,EQ,INE00FF01025,NSE,ACUTAAS,,ACUTAAS INE00FF01025 543349 ACUTAAS Acutaas Chemicals Ltd,true
ADANIENSOL,Adani Energy Solutions Limited,Power,EQ,INE931S01010,NSE,ADANIENSOL,,ADANIENSOL INE931S01010 539254 ADANIENSOL Adani Energy Solutions Ltd,true
ADANIENT,Adani Enterprises Limited,Metals & Mining,EQ,INE423A01024,NSE,ADANIENT,,ADANIENT INE423A01024 512599 ADANIENT Adani Enterprises Ltd,true
ADANIGREEN,Adani Green Energy Limited,Power,EQ,INE364U01010,NSE,ADANIGREEN,,ADANIGREEN INE364U01010 541450 ADANIGREEN Adani Green Energy Ltd,true
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Services,EQ,INE742F01042,NSE,ADANIPORTS,,ADANIPORTS INE742F01042 532921 ADANIPORTS Adani Ports and Special Economic Zone Ltd,true
ADANIPOWER,Adani Power Limited,Power,EQ,INE814H01029,NSE,ADANIPOWER,,ADANIPOWER INE814H01029 533096 ADANIPOWER Adani Power Ltd,true
ADFFOODS,ADF Foods Limited,NSE Equity,EQ,INE982B01027,NSE,ADFFOODS,,ADFFOODS INE982B01027 519183 ADFFOODS Adf Foods Ltd,true
ADL,Archidply Decor Limited,NSE Equity,EQ,INE0CHO01012,NSE,ADL,,ADL INE0CHO01012 543231 ADL Archidply Decor Ltd,true
ADOR,Ador Welding Limited,NSE Equity,EQ,INE045A01017,NSE,ADOR,,ADOR INE045A01017 517041 ADOR Ador Welding Ltd,true
ADROITINFO,Adroit Infotech Limited,NSE Equity,EQ,INE737B01033,NSE,ADROITINFO,,ADROITINFO INE737B01033 532172 ADROITINFO Adroit Infotech Ltd,true
ADSL,Allied Digital Services Limited,NSE Equity,EQ,INE102I01027,NSE,ADSL,,ADSL INE102I01027 532875 ADSL Allied Digital Services Ltd,true
ADVAIT,Advait Energy Transitions Limited,NSE Equity,EQ,INE0ALI01010,NSE,ADVAIT,,ADVAIT INE0ALI01010 543230 ADVAIT Advait Energy Transitions Ltd,true
