symbol,name,industry,enabled
ANTHEM,ANTHEM,My List,true
APCOTEXIND,APCOTEXIND,My List,true
APOLLOHOSP,APOLLOHOSP,My List,true
ASIANPAINT,ASIANPAINT,My List,true
ASTERDM,ASTERDM,My List,true
BRPL,BRPL,My List,true
BIMETAL,BIMETAL,My List,true
BLISSGVS,BLISSGVS,My List,true
CEMPRO,CEMPRO,My List,true
CRAFTSMAN,CRAFTSMAN,My List,true
CUMMINSIND,CUMMINSIND,My List,true
FIEMIND,FIEMIND,My List,true
FORTIS,FORTIS,My List,true
GRWRHITECH,GRWRHITECH,My List,true
GRANULES,GRANULES,My List,true
GRINDWELL,GRINDWELL,My List,true
HARSHA,HARSHA,My List,true
HESTERBIO,HESTERBIO,My List,true
INDNIPPON,INDNIPPON,My List,true
JSWSTEEL,JSWSTEEL,My List,true
KPIL,KPIL,My List,true
KPL,KPL,My List,true
LMW,LMW,My List,true
LUPIN,LUPIN,My List,true
MAHLOG,MAHLOG,My List,true
MARKSANS,MARKSANS,My List,true
MAYURUNIQ,MAYURUNIQ,My List,true
MMP,MMP,My List,true
NAM-INDIA,NAM-INDIA,My List,true
NIVABUPA,NIVABUPA,My List,true
OFSS,OFSS,My List,true
ORIENTBELL,ORIENTBELL,My List,true
PIDILITIND,PIDILITIND,My List,true
PRECOT,PRECOT,My List,true
PREMIERENE,PREMIERENE,My List,true
PRIVISCL,PRIVISCL,My List,true
PGHL,PGHL,My List,true
RADICO,RADICO,My List,true
RPEL,RPEL,My List,true
RAIN,RAIN,My List,true
RANEHOLDIN,RANEHOLDIN,My List,true
RASRESOR,RASRESOR,My List,true
RRKABEL,RRKABEL,My List,true
RRMETAL,RRMETAL,My List,true
SEKURITIND,SEKURITIND,My List,true
SAKAR,SAKAR,My List,true
SANCTRN,SANCTRN,My List,true
SANDHAR,SANDHAR,My List,true
SANGAMIND,SANGAMIND,My List,true
SFL,SFL,My List,true
SHILPAMED,SHILPAMED,My List,true
SIMMOND,SIMMOND,My List,true
SIS,SIS,My List,true
SJS,SJS,My List,true
SKIPPER,SKIPPER,My List,true
SOLARINDS,SOLARINDS,My List,true
TAALTECH,TAALTECH,My List,true
THYROCARE,THYROCARE,My List,true
TIPSMUSIC,TIPSMUSIC,My List,true
V2RETAIL,V2RETAIL,My List,true
VIKRAMTH,VIKRAMTH,My List,true
VIYASH,VIYASH,My List,true
ADANIPOWER,ADANIPOWER,My List,true
ALIVUS,ALIVUS,My List,true
ANANDRATHI,ANANDRATHI,My List,true
BENARAS,BENARAS,My List,true
BETA,BETA,My List,true
CAPLIPOINT,CAPLIPOINT,My List,true
COALINDIA,COALINDIA,My List,true
CAMS,CAMS,My List,true
LALPATHLAB,LALPATHLAB,My List,true
FINEORG,FINEORG,My List,true
HAPPYFORGE,HAPPYFORGE,My List,true
HAL,HAL,My List,true
INGERRAND,INGERRAND,My List,true
INOXINDIA,INOXINDIA,My List,true
IKS,IKS,My List,true
KMEW,KMEW,My List,true
KOVAI,KOVAI,My List,true
KIMS,KIMS,My List,true
MANKIND,MANKIND,My List,true
NH,NH,My List,true
NMDC,NMDC,My List,true
PRUDENT,PRUDENT,My List,true
RAINBOW,RAINBOW,My List,true
SHRIPISTON,SHRIPISTON,My List,true
TANFACIND,TANFACIND,My List,true
TATACOMM,TATACOMM,My List,true
TORNTPHARM,TORNTPHARM,My List,true
UNIABEXAL,UNIABEXAL,My List,true
UNIHEALTH,UNIHEALTH,My List,true
VADILALIND,VADILALIND,My List,true
VBL,VBL,My List,true
VIJAYA,VIJAYA,My List,true
YASHHV,YASHHV,My List,true
NRBBEARING,NRBBEARING,My List,true
SCHNEIDER,SCHNEIDER,My List,true
INDHOTEL,INDHOTEL,My List,true
MARC,MARC,My List,true
AEGISVOPAK,AEGISVOPAK,My List,true
BHEL,BHEL,My List,true
BHARATSE,BHARATSE,My List,true
EMMVEE,EMMVEE,My List,true
ENDURANCE,ENDURANCE,My List,true
FREDUN,FREDUN,My List,true
HEXAGON,HEXAGON,My List,true
INDIGRID,INDIGRID,My List,true
INVPRECQ,INVPRECQ,My List,true
JAYBARMARU,JAYBARMARU,My List,true
KARURVYSYA,KARURVYSYA,My List,true
KMCSHIL,KMCSHIL,My List,true
KRISHNADEF,KRISHNADEF,My List,true
KRN,KRN,My List,true
THELEELA,THELEELA,My List,true
LLOYDSME,LLOYDSME,My List,true
MINDACORP,MINDACORP,My List,true
MINDSPACE,MINDSPACE,My List,true
NEULANDLAB,NEULANDLAB,My List,true
NINSYS,NINSYS,My List,true
NUVAMA,NUVAMA,My List,true
OBSCP,OBSCP,My List,true
PGIL,PGIL,My List,true
POLYCAB,POLYCAB,My List,true
PRICOLLTD,PRICOLLTD,My List,true
RUBICON,RUBICON,My List,true
MOTHERSON,MOTHERSON,My List,true
SANSERA,SANSERA,My List,true
SEDEMAC,SEDEMAC,My List,true
SBCL,SBCL,My List,true
TENNIND,TENNIND,My List,true
WABAG,WABAG,My List,true
VIGOR,VIGOR,My List,true
YATHARTH,YATHARTH,My List,true
APTUS,APTUS,My List,true
CLIOINFO,CLIOINFO,My List,true
DHABRIYA,DHABRIYA,My List,true
EMERALD,EMERALD,My List,true
GOLKUNDIA,GOLKUNDIA,My List,true
GSAUTO,GSAUTO,My List,true
ADOR,ADOR,My List,true
BAJAJ-AUTO,BAJAJ-AUTO,My List,true
BUTTERFLY,BUTTERFLY,My List,true
CGCL,CGCL,My List,true
CIL,CIL,My List,true
CJGEL,CJGEL,My List,true
COVANCE,COVANCE,My List,true
CREDITACC,CREDITACC,My List,true
FUSION,FUSION,My List,true
GHCLTEXTIL,GHCLTEXTIL,My List,true
GINNIFILA,GINNIFILA,My List,true
GODREJIND,GODREJIND,My List,true
GSMFOILS,GSMFOILS,My List,true
IMPAL,IMPAL,My List,true
INDUSFINL,INDUSFINL,My List,true
KELENRG,KELENRG,My List,true
KVFORGE,KVFORGE,My List,true
MGEL,MGEL,My List,true
MKTCREAT,MKTCREAT,My List,true
NEXUSSURGL,NEXUSSURGL,My List,true
NRL,NRL,My List,true
PANACHE,PANACHE,My List,true
PARAS,PARAS,My List,true
POCL,POCL,My List,true
PPAP,PPAP,My List,true
RAJSEC,RAJSEC,My List,true
RAMCOIND,RAMCOIND,My List,true
RML,RML,My List,true
SANGHVIMOV,SANGHVIMOV,My List,true
SGFIN,SGFIN,My List,true
SKYGOLD,SKYGOLD,My List,true
STOVEKRAFT,STOVEKRAFT,My List,true
SUDARSHAN,SUDARSHAN,My List,true
SW1,SW1,My List,true
TERAI,TERAI,My List,true
THANGAMAYL,THANGAMAYL,My List,true
TBZ,TBZ,My List,true
UCIL,UCIL,My List,true
UNIVASTU,UNIVASTU,My List,true
VIJIFIN,VIJIFIN,My List,true
