symbol,name,industry,enabled
360ONE,360 ONE WAM Ltd.,Financial Services,true
3MINDIA,3M India Ltd.,Diversified,true
ABB,ABB India Ltd.,Capital Goods,true
ACC,ACC Ltd.,Construction Materials,true
ACMESOLAR,ACME Solar Holdings Ltd.,Power,true
AIAENG,AIA Engineering Ltd.,Capital Goods,true
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,true
AUBANK,AU Small Finance Bank Ltd.,Financial Services,true
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,true
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,true
AARTIIND,Aarti Industries Ltd.,Chemicals,true
AAVAS,Aavas Financiers Ltd.,Financial Services,true
ABBOTINDIA,Abbott India Ltd.,Healthcare,true
ACE,Action Construction Equipment Ltd.,Capital Goods,true
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,true
ADANIENSOL,Adani Energy Solutions Ltd.,Power,true
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,true
ADANIGREEN,Adani Green Energy Ltd.,Power,true
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,true
ADANIPOWER,Adani Power Ltd.,Power,true
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,true
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,true
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,true
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,true
ABREL,Aditya Birla Real Estate Ltd.,Realty,true
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,true
CPPLUS,Aditya Infotech Ltd.,Capital Goods,true
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,true
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,true
AFCONS,Afcons Infrastructure Ltd.,Construction,true
AFFLE,Affle 3i Ltd.,Information Technology,true
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,true
ALKEM,Alkem Laboratories Ltd.,Healthcare,true
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,true
