Trade Scope,Trade Quality,Source Lists,Symbol,Name,Status,Entry Signal Date,Entry Date,Entry Time,Entry Price,Quantity,Original Quantity,Invested Value,Last Close,Unrealized P&L,Unrealized P&L %,Exit Signal Date,Exit Date,Exit Time,Exit Price,Realized P&L,Realized P&L %,Holding Days,Execution Window,Position Rank,Current Rank,Initial Stop,Trailing Stop,Initial Risk,Current R,Partial Exit Count,Partial Realized P&L,Exit Type,Replacement Candidate,Entry Style,Setup Grade,Setup Score,Fundamental Score,Institutional Score,GTF Score,GTF Daily Demand,GTF Weekly Demand,GTF Opposing Supply,GTF 2R Room,Index Context,Derivatives Context,Options Context,Commodity Context,Concept Score,Strong Concepts,Weak Concepts,Data Gaps,Excluded Playbooks,Sector Breadth,Near 52W High,55D Breakout,Volume Ratio,ATR %,Risk To ST %,Retracement Buy,Pullback Depth %,Pullback Support,Pullback Risk %,Pullback Volume Ratio,Reclaim Volume Ratio,Candle Pattern,Previous Low,2 Candle Low,4 Candle Low,Entry Reason,Exit Reason
All NSE Market,Best only (A+/A),All NSE Market,AZAD,Azad Engineering Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,2520,39,39,98280,2479.5,-1579.5,-1.61,2026-07-10,,,,,,,09:15-09:20 IST,,184.89,2318.4,2318.4,,,0,0,SCOPE_REBALANCE,,,A+,14,4,,,,,,,,,,,,,,,,24.1% (417/1730),Yes,Yes,5.27,4.12,17.41,No,,,,,,previous-high confirmation,2210,2204.5,2057.1,"Weekly RSI 60.67 is above 50. Daily RSI 72.75 is above 50. Weekly RS 44.8% is above 0. Daily long RS55 15.9% is above 0. Daily short RS21 10.5% is above 0. Daily close 2476.10 is above Supertrend(10, 3) 2044.93. Price action strength: close crossed 55-day high 2350.00. 52-week breakout: close crossed prior 52-week high 2350.00. Volume shocker: latest volume is 5.27x the 50-day average. RS trend strength: weekly RS and daily RS55 are rising. Trend strength: close is above 50-DMA and 200-DMA, with fast DMA above slow DMA. Price confirmation: previous-high confirmation is present. Volatility is controlled: ATR(14) is 4.12% of price. Liquidity strength: 20-day average turnover is Rs 1445241605.40. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),All NSE Market,BALAMINES,Balaji Amines Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,2389.9,41,41,97985.9,2414.9,1025,1.05,2026-07-10,,,,,,,09:15-09:20 IST,,186.31,2198.71,2198.71,,,0,0,SCOPE_REBALANCE,,,A+,13,4,,,,,,,,,,,,,,,,24.1% (417/1730),Yes,Yes,2.04,5.32,19.44,No,,,,,,previous-high confirmation,2060,2057.1,2057.1,"Weekly RSI 76.39 is above 50. Daily RSI 64.91 is above 50. Weekly RS 96.1% is above 0. Daily long RS55 88.4% is above 0. Daily short RS21 6.9% is above 0. Daily close 2364.00 is above Supertrend(10, 3) 1904.46. Price action strength: close crossed 55-day high 2320.00. 52-week breakout: close crossed prior 52-week high 2320.00. Volume shocker: latest volume is 2.04x the 50-day average. Trend strength: close is above 50-DMA and 200-DMA, with fast DMA above slow DMA. Price confirmation: previous-high confirmation is present. Volatility is controlled: ATR(14) is 5.32% of price. Liquidity strength: 20-day average turnover is Rs 726710452.63. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),All NSE Market,CONSOFINVT,Consolidated Finvest & Holdings Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,267,374,374,99858,263.33,-1372.59,-1.37,2026-07-10,,,,,,,09:15-09:20 IST,,125.65,245.64,245.64,,,0,0,SCOPE_REBALANCE,,,A+,12,4,,,,,,,,,,,,,,,,24.1% (417/1730),Yes,Yes,15.19,3.93,14.21,No,,,,,,previous-high confirmation,229.88,225,223,"Weekly RSI 60.44 is above 50. Daily RSI 75.98 is above 50. Weekly RS 9.5% is above 0. Daily long RS55 16.6% is above 0. Daily short RS21 13.8% is above 0. Daily close 261.44 is above Supertrend(10, 3) 224.28. Price action strength: close crossed 55-day high 254.00. 52-week breakout: close crossed prior 52-week high 254.00. Volume shocker: latest volume is 15.19x the 50-day average. RS trend strength: daily RS55 is rising. Trend strength: close is above 50-DMA and 200-DMA, with fast DMA above slow DMA. Price confirmation: previous-high confirmation is present. Volatility is controlled: ATR(14) is 3.93% of price. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),"All NSE Market, Default Nifty 500",GRASIM,Grasim Industries Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,3208.8,31,31,99472.8,3213.6,148.8,0.15,2026-07-10,,,,,,,09:15-09:20 IST,,92.88,2952.1,3121.4,,,0,0,SCOPE_REBALANCE,,,A+,11,5,,,,,,,,,,,,,,,,27.27% (3/11),Yes,No,1.2,1.77,4.64,No,,,,,,previous-high confirmation,3121.4,3121.4,3121.4,"Weekly RSI 66.82 is above 50. Daily RSI 59.12 is above 50. Weekly RS 12.8% is above 0. Daily long RS55 15.3% is above 0. Daily short RS21 0.1% is above 0. Daily close 3191.90 is above Supertrend(10, 3) 3043.87. Price action strength: close is within 15% of 52-week high 3222.00. RS trend strength: daily RS55 is rising. Trend strength: close is above 50-DMA and 200-DMA, with fast DMA above slow DMA. Risk reference: close is 4.64% above daily Supertrend. Price confirmation: previous-high confirmation is present. Volatility is controlled: ATR(14) is 1.77% of price. Liquidity strength: 20-day average turnover is Rs 1875807595.14. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),"All NSE Market, Default Nifty 500",SAREGAMA,Saregama India Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,478.5,208,208,99528,479.2,145.6,0.15,2026-07-10,,,,,,,09:15-09:20 IST,,174,440.22,444.22,,,0,0,SCOPE_REBALANCE,,,A+,11,5,,,,,,,,,,,,,,,,25% (1/4),Yes,No,0.31,4.13,6.7,No,,,,,,previous-high confirmation,443.35,443.35,443.35,"Weekly RSI 69.47 is above 50. Daily RSI 55.08 is above 50. Weekly RS 48.5% is above 0. Daily long RS55 35.1% is above 0. Daily short RS21 4.7% is above 0. Daily close 476.10 is above Supertrend(10, 3) 444.22. Price action strength: close is within 15% of 52-week high 520.00. Trend strength: close is above 50-DMA and 200-DMA, with fast DMA above slow DMA. Risk reference: close is 6.70% above daily Supertrend. Price confirmation: previous-high confirmation is present. Volatility is controlled: ATR(14) is 4.13% of price. Liquidity strength: 20-day average turnover is Rs 329311299.09. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),"All NSE Market, Default Nifty 500",USHAMART,Usha Martin Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,504.7,198,198,99930.6,510.1,1069.2,1.07,2026-07-10,,,,,,,09:15-09:20 IST,,170.35,464.32,492.64,,,0,0,SCOPE_REBALANCE,,,A+,11,5,,,,,,,,,,,,,,,,15.87% (10/63),Yes,No,0.33,3.08,5.74,No,,,,,,No bullish confirmation pattern,486,486,486,"Weekly RSI 66.21 is above 50. Daily RSI 55.16 is above 50. Weekly RS 24.0% is above 0. Daily long RS55 13.1% is above 0. Daily short RS21 0.6% is above 0. Daily close 502.20 is above Supertrend(10, 3) 473.37. Price action strength: close is within 15% of 52-week high 527.50. RS trend strength: weekly RS and daily RS55 are rising. Trend strength: close is above 50-DMA and 200-DMA, with fast DMA above slow DMA. Risk reference: close is 5.74% above daily Supertrend. Volatility is controlled: ATR(14) is 3.08% of price. Liquidity strength: 20-day average turnover is Rs 264044234.81. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),"All NSE Market, My Custom List",TIPSMUSIC,Tips Music Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,717,139,139,99663,711.55,-757.55,-0.76,2026-07-10,,,,,,,09:15-09:20 IST,,132.17,659.64,659.64,,,0,0,SCOPE_REBALANCE,,,A+,11,4,,,,,,,,,,,,,,,,24.1% (417/1730),Yes,No,4.16,3.33,12.04,No,,,,,,previous-high confirmation + bullish engulfing,659.5,659.5,659.5,"Weekly RSI 61.89 is above 50. Daily RSI 66.15 is above 50. Weekly RS 23.3% is above 0. Daily long RS55 8.5% is above 0. Daily short RS21 6.6% is above 0. Daily close 711.15 is above Supertrend(10, 3) 625.51. Price action strength: close is within 15% of 52-week high 726.75. Volume shocker: latest volume is 4.16x the 50-day average. Trend strength: close is above 50-DMA and 200-DMA, with fast DMA above slow DMA. Price confirmation: previous-high confirmation + bullish engulfing is present. Volatility is controlled: ATR(14) is 3.33% of price. Liquidity strength: 20-day average turnover is Rs 145364037.14. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),All NSE Market,VINCOFE,Vintage Coffee And Beverages Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,164.7,607,607,99972.9,161.55,-1912.05,-1.91,2026-07-10,,,,,,,09:15-09:20 IST,,75.09,151.52,151.7,,,0,0,SCOPE_REBALANCE,,,A,10,4,,,,,,,,,,,,,,,,24.1% (417/1730),Yes,No,1.43,4.3,13.78,No,,,,,,previous-high confirmation + bullish engulfing,153.27,153.1,151.7,"Weekly RSI 57.02 is above 50. Daily RSI 60.89 is above 50. Weekly RS 6.0% is above 0. Daily long RS55 21.9% is above 0. Daily short RS21 0.6% is above 0. Daily close 163.15 is above Supertrend(10, 3) 140.67. Price action strength: close is within 15% of 52-week high 179.85. RS trend strength: weekly RS and daily RS55 are rising. Price confirmation: previous-high confirmation + bullish engulfing is present. Volatility is controlled: ATR(14) is 4.30% of price. Liquidity strength: 20-day average turnover is Rs 466304688.16. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),"All NSE Market, Default Nifty 500",ANANTRAJ,Anant Raj Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,575.3,173,173,99526.9,585.85,1825.15,1.83,2026-07-10,,,,,,,09:15-09:20 IST,,158.35,529.28,529.28,,,0,0,SCOPE_REBALANCE,,,A,9,4,,,,,,,,,,,,,,,,72.73% (8/11),No,No,1.18,3.51,10.11,No,,,,,,No bullish confirmation pattern,528.2,528.2,528.2,"Weekly RSI 53.94 is above 50. Daily RSI 62.53 is above 50. Weekly RS 1.8% is above 0. Daily long RS55 10.3% is above 0. Daily short RS21 5.6% is above 0. Daily close 569.45 is above Supertrend(10, 3) 511.89. RS trend strength: weekly RS and daily RS55 are rising. Volatility is controlled: ATR(14) is 3.51% of price. Liquidity strength: 20-day average turnover is Rs 1118634540.95. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Sector breadth strong: Realty has 8/11 stocks (72.73%) passing daily strength. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),"All NSE Market, Default Nifty 500",SUMICHEM,Sumitomo Chemical India Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,483.55,206,206,99611.3,513.7,6210.9,6.24,2026-07-10,,,,,,,09:15-09:20 IST,,166.88,444.87,463.65,,,0,0,SCOPE_REBALANCE,,,A,9,4,,,,,,,,,,,,,,,,15.38% (4/26),No,No,0.52,3.88,10.05,No,,,,,,No bullish confirmation pattern,463.65,463.65,442.3,"Weekly RSI 58.82 is above 50. Daily RSI 56.99 is above 50. Weekly RS 23.1% is above 0. Daily long RS55 6.2% is above 0. Daily short RS21 1.5% is above 0. Daily close 481.15 is above Supertrend(10, 3) 432.79. RS trend strength: weekly RS and daily RS55 are rising. Trend strength: close is above 50-DMA and 200-DMA, with fast DMA above slow DMA. Volatility is controlled: ATR(14) is 3.88% of price. Liquidity strength: 20-day average turnover is Rs 1021331586.65. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),All NSE Market,AMNPLST,Amines & Plasticizers Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,209,478,478,99902,207.64,-650.08,-0.65,2026-07-10,,,,,,,09:15-09:20 IST,,144.95,192.28,192.28,,,0,0,SCOPE_REBALANCE,,,A,10,2,,,,,,,,,,,,,,,,24.1% (417/1730),No,No,1.54,4.85,14.1,No,,,,,,previous-high confirmation,187.94,185.1,185,"Weekly RSI 55.17 is above 50. Daily RSI 63.52 is above 50. Weekly RS 11.9% is above 0. Daily long RS55 24.2% is above 0. Daily short RS21 2.5% is above 0. Daily close 204.61 is above Supertrend(10, 3) 175.75. Volume shocker: latest volume is 1.54x the 50-day average. RS trend strength: weekly RS and daily RS55 are rising. Trend strength: close is above 50-DMA and 200-DMA, with fast DMA above slow DMA. Price confirmation: previous-high confirmation is present. Volatility is controlled: ATR(14) is 4.85% of price. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),"All NSE Market, Default Nifty 500",LENSKART,Lenskart Solutions Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,556,179,179,99524,543.65,-2210.65,-2.22,2026-07-10,,,,,,,09:15-09:20 IST,,74.1,511.52,525.75,,,0,0,SCOPE_REBALANCE,,,A,9,3,,,,,,,,,,,,,,,,41.38% (12/29),Yes,No,2.17,2.98,9.15,No,,,,,,previous-high confirmation,529.3,529.3,525.75,"Weekly RSI 58.66 is above 50. Daily RSI 71.63 is above 50. Weekly RS 17.2% is above 0. Daily long RS55 0.3% is above 0. Daily short RS21 5.2% is above 0. Daily close 545.95 is above Supertrend(10, 3) 495.99. Price action strength: close is within 15% of 52-week high 557.65. Volume shocker: latest volume is 2.17x the 50-day average. RS trend strength: daily RS55 is rising. Price confirmation: previous-high confirmation is present. Volatility is controlled: ATR(14) is 2.98% of price. Liquidity strength: 20-day average turnover is Rs 3448981486.62. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
All NSE Market,Best only (A+/A),All NSE Market,UTLSOLAR,Fujiyama Power Systems Limited,PENDING_EXIT,2026-07-09,2026-07-10,09:15 IST,374,267,267,99858,382.7,2322.9,2.33,2026-07-10,,,,,,,09:15-09:20 IST,,189.57,344.08,344.08,,,0,0,SCOPE_REBALANCE,,,A,8,4,,,,,,,,,,,,,,,,24.1% (417/1730),Yes,No,0.25,4.58,15.86,No,,,,,,previous-high confirmation,321.2,321.2,321.2,"Weekly RSI 71.62 is above 50. Daily RSI 69.85 is above 50. Weekly RS 67.6% is above 0. Daily long RS55 26.1% is above 0. Daily short RS21 9.6% is above 0. Daily close 364.50 is above Supertrend(10, 3) 306.69. Price action strength: close is within 15% of 52-week high 365.00. Price confirmation: previous-high confirmation is present. Volatility is controlled: ATR(14) is 4.58% of price. Liquidity strength: 20-day average turnover is Rs 104194634.88. Market regime supports longs: NIFTY 500 bullish/healthy. Execution plan: buy on the next trading session using the 09:15 five-minute candle open. Trade sheet filter: All NSE Market, Best only (A+/A). Closing signal dated 2026-07-09; buy fill must come from the next session 09:15-09:20 IST window.","Trade universe changed to My List; this position is outside the active portfolio. Closing exit signal dated 2026-07-10; sell fill must come from the next actual market session 09:15-09:20 IST window, after skipping weekends and exchange holidays."
